2015-01-11 17:41:22 - infiSTAR.de AdminLog | 2h 60min | Ludacris G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 17:41:23 - infiSTAR.de AdminLog | 2h 60min | Ludacris G_o_d OFF   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 17:41:24 - infiSTAR.de AdminLog | 2h 60min | Ludacris No Zed Aggro - On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 17:41:27 - infiSTAR.de AdminLog | 2h 60min | Ludacris ZedShield Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 17:41:48 - infiSTAR.de AdminLog | 2h 60min | Ludacris (76561198053094647) spawned Mi17_Civilian @146147   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 17:45:57 - infiSTAR.de AdminLog | 2h 60min | Ludacris No Zed Aggro - On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 17:46:16 - infiSTAR.de AdminLog | 2h 60min | Ludacris (76561198053094647) spawned UH60M_EP1_DZ @104141   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 17:48:47 - infiSTAR.de AdminLog | 2h 60min | Ludacris No Zed Aggro - Disabled   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 17:50:01 - infiSTAR.de AdminLog | 2h 60min | Ludacris Moving to Gandalf   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 20:42:56 - infiSTAR.de AdminLog | 0h 40min | Ludacris No Zed Aggro - On   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
2015-01-11 20:42:57 - infiSTAR.de AdminLog | 0h 40min | Ludacris G_o_d ON   |Instance: 13 - ArmA2OA163125548 - 26122014IAHAT340A | Ludacris(any)
